Zone;Site;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Moyenne;Mediane;Somme
NEUHOF;N1;734;810;970;1779;1351;1028;1321;1186;1120;1058;696;606;1054,916667;1043;12659
NEUHOF;N11_2;22776;25538;39346;37639;48626;47878;49357;50854;46630;34116;28335;17119;37351,16667;38492,5;448214
NEUHOF;N11_3;2712;2857;3486;4391;3724;3028;3207;3015;3727;3520;2516;1806;3165,75;3117,5;37989
NEUHOF;N12_1;6;28;267;317;994;726;561;778;1658;1193;161;65;562,8333333;439;6754
NEUHOF;N12_2;2265;2996;6339;9601;5172;4114;4388;5499;5689;5703;3296;2315;4781,416667;4780;57377
NEUHOF;N12_3;3613;3835;4943;4766;4738;4324;3615;3300;3768;4170;3279;2568;3909,916667;3801,5;46919
NEUHOF;N13;3693;3057;3826;4930;5190;4309;3600;3050;3438;4403;3891;3133;3876,666667;3759,5;46520
NEUHOF;N14_1;25449;26566;40060;48205;63711;54877;55582;58940;54846;46333;36327;26138;44752,83333;47269;537034
NEUHOF;N14_2;1840;1679;2187;5192;5225;2246;1995;1933;2296;2290;1787;1416;2507,166667;2091;30086
NEUHOF;N15;2272;3138;4416;6964;10363;9323;9663;18690;8572;5931;2393;1848;6964,416667;6447,5;83573
NEUHOF;N16;10732;13895;17948;29263;17944;18199;16427;17451;17553;15434;13399;9668;16492,75;16939;197913
NEUHOF;N17;9572;10664;14915;16656;17782;17871;10314;17239;11863;13281;10353;10164;13389,5;12572;160674
NEUHOF;N19;13152;14597;24568;48479;36737;46977;45925;35991;33994;27822;14693;11228;29513,58333;30908;354163
NEUHOF;N20;6550;7803;16524;18783;20111;13227;12396;15238;13898;13540;10765;7469;13025,33333;13383,5;156304
NEUHOF;N21;21499;23888;34333;44182;45544;37039;38622;34236;37240;41008;27424;21128;33845,25;35686;406143
NEUHOF;N2_1;19490;21613;32707;45889;43777;36570;38471;39217;35414;32540;26878;20409;32747,91667;34060,5;392975
NEUHOF;N2_2;2001;2538;2900;3751;7256;10472;6090;5025;3307;3541;2540;1899;4276,666667;3424;51320
ILLKIRCH;N3_1;137;0;171;0;0;0;0;0;1110;1599;714;503;352,8333333;68,5;4234
ILLKIRCH;N3_2;624;907;1662;2454;1892;1331;1007;1176;1437;1383;1048;532;1287,75;1253,5;15453
ILLKIRCH;N3_3;2452;2846;2922;3460;3569;2960;3093;4111;5458;3506;2256;2349;3248,5;3026,5;38982
ILLKIRCH;N4_1;1067;1246;2788;3619;2358;1089;1191;1211;2434;2384;2115;1852;1946,166667;1983,5;23354
ILLKIRCH;N4_2;920;945;1817;1522;2608;3050;5854;4671;2057;1213;1710;751;2259,833333;1763,5;27118
ILLKIRCH;N4_3;8554;8584;10024;11985;12539;10193;10035;9606;10490;10243;7738;7151;9761,833333;10029,5;117142
ILLKIRCH;N5_1;5291;5674;10130;11885;10975;14475;7098;7495;8397;9070;7368;5898;8646,333333;7946;103756
ILLKIRCH;N5_2;11342;10217;9772;13067;17895;12766;9804;10731;13738;13532;11835;10234;12077,75;11588,5;144933
ILLKIRCH;N6_1;3337;4189;10924;14158;22767;32136;42531;40264;27944;16615;9200;5800;19155,41667;15386,5;229865
ILLKIRCH;N7_1;5299;5357;18332;22582;26226;35182;43706;42489;27820;18582;10793;6822;21932,5;20582;263190
ILLKIRCH;N7_2;14293;15534;18497;20300;21847;16646;16197;15043;18037;16518;12364;10623;16324,91667;16357,5;195899
ILLKIRCH;N8;14336;14178;15659;15058;12975;14164;12990;9860;12157;14403;12938;10734;13287,66667;13577;159452
ILLKIRCH;N9;4899;4602;6285;7839;9429;9119;8062;6807;8811;8665;4878;3464;6905;7323;82860
ILLKIRCH;N10_1;1507;2039;3425;3653;3121;2227;2085;1985;2240;2183;1755;1548;2314;2134;27768
ILLKIRCH;N10_2;4531;3522;2718;3596;4387;3235;3608;2370;3802;3407;2261;3358;3399,583333;3464,5;40795
ILLKIRCH;N22;11237;12432;20981;37969;43079;42077;38401;37040;39899;34084;14966;9604;28480,75;35562;341769
ILLKIRCH;N23;22433;24666;36154;38577;40585;32296;29969;28120;30737;30925;24303;20321;29923,83333;30353;359086
ILLKIRCH;PB;3871;2727;5231;8010;7581;6836;6088;5907;7025;5934;3961;2830;5500,083333;5920,5;66001
ROHRSCHOLLEN;R1;7592;12449;14810;16960;11843;14141;21267;23800;17498;18429;8849;7478;14593;14475,5;175116
ROHRSCHOLLEN;R2;2869;3375;6688;8391;17805;16171;8397;5062;10499;7672;4941;2769;7886,583333;7180;94639
ROHRSCHOLLEN;R3;4760;6953;20662;15301;13353;8611;6740;23572;22512;12365;4461;3712;11916,83333;10488;143002
ROHRSCHOLLEN;R4;1285;2105;2318;3702;3030;1622;1133;1094;1243;1521;1008;891;1746;1403;20952
ROHRSCHOLLEN;R5;1863;2867;5317;5832;5297;4174;3712;3437;4807;3938;1970;1423;3719,75;3825;44637
ROHRSCHOLLEN;R6;471;650;883;1460;1497;658;200;349;284;333;296;308;615,75;410;7389
ROHRSCHOLLEN;R7;3629;5947;8637;7080;9934;5161;6610;6134;7330;4882;3176;3249;5980,75;6040,5;71769
ROBERTSAU;Ro1;26103;33165;47282;51631;70181;49293;41987;40468;37358;39879;28743;26015;41008,75;40173,5;492105
ROBERTSAU;Ro2;25983;34704;49941;47871;77213;73102;65885;68262;62835;46927;25210;23515;50120,66667;48906;601448
ROBERTSAU;Ro3;11071;16628;24881;30642;32740;21651;19801;21511;19447;18318;15468;9576;20144,5;19624;241734
